William_Shakespeare|33
Abraham_Lincoln|32
Friedrich_Nietzsche|29
Arnold_Schwarzenegger|27
Universal_Studios|27
Aristotle|25
Jimmy_Carter|25
Albert_Einstein|23
Bill_Clinton|23
James_Bond|23
Joseph_Haydn|23
Barack_Obama|22
Napoleon|22
Johann_Sebastian_Bach|21
Margaret_Thatcher|21
Edgar_Allan_Poe|20
Frank_Sinatra|20
George_W._Bush|19
H._G._Wells|19
Judy_Garland|19
Michelangelo|19
Adolf_Hitler|18
Elvis_Presley|18
Nero|18
Robin_Williams|18
Thomas_Edison|18
Ulysses_S._Grant|18
Amy_Winehouse|17
Cole_Porter|17
Dante_Alighieri|17
Franklin_D._Roosevelt|17
Hillary_Rodham_Clinton|17
Italy|17
Jesus|17
Michael_Jackson|17
Pope_Benedict_XVI|17
Pope_Pius_XII|17
Ronald_Reagan|17
Wolfgang_Amadeus_Mozart|17
Yoko_Ono|17
Al_Pacino|16
Barry_Manilow|16
Bruce_Willis|16
Carl_Linnaeus|16
George_H._W._Bush|16
Lewis_Carroll|16
Neil_Gaiman|16
Paul_McCartney|16
Peter_Gabriel|16
Robert_A._Heinlein|16
Slovakia|16
Winston_Churchill|16
Aldous_Huxley|15
Bob_Hope|15
Claudius|15
Elton_John|15
Geoffrey_Chaucer|15
Henry_VII_of_England|15
Irving_Berlin|15
Jack_Nicholson|15
Martin_Luther|15
Nazi_Germany|15
Nicaragua|15
Paul_Newman|15
Philip_K._Dick|15
Alexander_the_Great|14
Augustine_of_Hippo|14
Bette_Davis|14
Charlemagne|14
Charlie_Parker|14
Claude_Monet|14
Dick_Cheney|14
Dwight_D._Eisenhower|14
Elizabeth_II|14
George_Orwell|14
Graham_Greene|14
Harry_S._Truman|14
James_Joyce|14
Lyndon_B._Johnson|14
Norway|14
Ovid|14
Percy_Bysshe_Shelley|14
Stanley_Kubrick|14
Stephen_Harper|14
Warren_G._Harding|14
Woodrow_Wilson|14
Zachary_Taylor|14
Alec_Baldwin|13
Augustus|13
Belgium|13
Benito_Mussolini|13
Bruce_Springsteen|13
Canada|13
Catherine_the_Great|13
David_Cameron|13
George_III_of_the_United_Kingdom|13
George_Washington|13
Hannibal|13
Henry_VIII_of_England|13
Henry_V_of_England|13
